product,category,neighbor,neighbor_category,rank,similarity_pct
Biquíni Easton Azul Marinho,Biquínis,Biquíni Vitto Azul Marinho,Biquínis,1,99.98
Biquíni Easton Azul Marinho,Biquínis,Biquíni Castillo Preto,Biquínis,2,90.92
Biquíni Easton Azul Marinho,Biquínis,Biquíni Castillo Terracota,Biquínis,3,90.92
Biquíni Easton Azul Marinho,Biquínis,Biquíni Castillo Off-White,Biquínis,4,90.92
Biquíni Easton Azul Marinho,Biquínis,Biquíni Alann Marrom,Biquínis,5,90.72
Biquíni Easton Azul Marinho,Biquínis,Biquíni Alann Preto,Biquínis,6,90.72
Biquíni Easton Marrom,Biquínis,Biquíni Alann Marrom,Biquínis,1,98.44
Biquíni Easton Marrom,Biquínis,Biquíni Landon Marrom,Biquínis,2,93.02
Biquíni Easton Marrom,Biquínis,Biquíni Castillo Off-White,Biquínis,3,90.92
Biquíni Easton Marrom,Biquínis,Biquíni Castillo Preto,Biquínis,4,90.92
Biquíni Easton Marrom,Biquínis,Biquíni Castillo Terracota,Biquínis,5,90.92
Biquíni Easton Marrom,Biquínis,Biquíni Alann Preto,Biquínis,6,90.72
Biquíni Easton Off-White,Biquínis,Biquíni Taut Off-White,Biquínis,1,99.68
Biquíni Easton Off-White,Biquínis,Biquíni Castillo Off-White,Biquínis,2,98.95
Biquíni Easton Off-White,Biquínis,Biquíni Lorian Off-White,Biquínis,3,95.95
Biquíni Easton Off-White,Biquínis,Biquíni Castillo Preto,Biquínis,4,90.92
Biquíni Easton Off-White,Biquínis,Biquíni Castillo Terracota,Biquínis,5,90.92
Biquíni Easton Off-White,Biquínis,Biquíni Alann Preto,Biquínis,6,90.72
BIQUÍNI EASTON + PAREÔ GRAZIA | PRETO,Biquínis,BIQUÍNI VITTO + PAREÔ | PRETO,Biquínis,1,99.31
BIQUÍNI EASTON + PAREÔ GRAZIA | PRETO,Biquínis,BIQUÍNI VITTO + PAREÔ GRAZIA | PÉROLA,Biquínis,2,99.11
BIQUÍNI EASTON + PAREÔ GRAZIA | PRETO,Biquínis,BIQUÍNI EASTON + PAREÔ | OFF-WHITE,Biquínis,3,98.34
BIQUÍNI EASTON + PAREÔ GRAZIA | PRETO,Biquínis,BIQUÍNI EASTON + PAREÔ | MARROM,Biquínis,4,98.17
BIQUÍNI EASTON + PAREÔ GRAZIA | PRETO,Biquínis,Saia Remmy Preto,Saias,5,62.86
BIQUÍNI EASTON + PAREÔ GRAZIA | PRETO,Biquínis,Saia Remmy Marrom,Saias,6,58.1
BIQUÍNI EASTON + PAREÔ | MARROM,Biquínis,BIQUÍNI EASTON + PAREÔ | OFF-WHITE,Biquínis,1,98.57
BIQUÍNI EASTON + PAREÔ | MARROM,Biquínis,BIQUÍNI VITTO + PAREÔ | PRETO,Biquínis,2,98.48
BIQUÍNI EASTON + PAREÔ | MARROM,Biquínis,BIQUÍNI EASTON + PAREÔ GRAZIA | PRETO,Biquínis,3,98.17
BIQUÍNI EASTON + PAREÔ | MARROM,Biquínis,BIQUÍNI VITTO + PAREÔ GRAZIA | PÉROLA,Biquínis,4,98.17
BIQUÍNI EASTON + PAREÔ | MARROM,Biquínis,Saia Remmy Marrom,Saias,5,66.42
BIQUÍNI EASTON + PAREÔ | MARROM,Biquínis,Saia Remmy Preto,Saias,6,60.22
BIQUÍNI EASTON + PAREÔ | OFF-WHITE,Biquínis,BIQUÍNI EASTON + PAREÔ | MARROM,Biquínis,1,98.57
BIQUÍNI EASTON + PAREÔ | OFF-WHITE,Biquínis,BIQUÍNI VITTO + PAREÔ | PRETO,Biquínis,2,98.55
BIQUÍNI EASTON + PAREÔ | OFF-WHITE,Biquínis,BIQUÍNI EASTON + PAREÔ GRAZIA | PRETO,Biquínis,3,98.34
BIQUÍNI EASTON + PAREÔ | OFF-WHITE,Biquínis,BIQUÍNI VITTO + PAREÔ GRAZIA | PÉROLA,Biquínis,4,98.33
BIQUÍNI EASTON + PAREÔ | OFF-WHITE,Biquínis,BODY EMMA + PANTALONA BRAXTON | OFF-WHITE,Bodies,5,61.52
BIQUÍNI EASTON + PAREÔ | OFF-WHITE,Biquínis,Saia Remmy Preto,Saias,6,60.24
Biquíni Easton Preto,Biquínis,Biquíni Vitto Preto,Biquínis,1,99.98
Biquíni Easton Preto,Biquínis,Biquíni Taut Preto,Biquínis,2,99.68
Biquíni Easton Preto,Biquínis,Biquíni Bonneville Preto,Biquínis,3,99.02
Biquíni Easton Preto,Biquínis,Biquíni Castillo Preto,Biquínis,4,98.95
Biquíni Easton Preto,Biquínis,Biquíni Alann Preto,Biquínis,5,98.44
Biquíni Easton Preto,Biquínis,Biquíni Finca Preto,Biquínis,6,96.14
Biquíni Eaton Cobre,Biquínis,Biquíni Bardi Cobre,Biquínis,1,95.6
Biquíni Eaton Cobre,Biquínis,Biquíni Peter Cobre,Biquínis,2,94.21
Biquíni Eaton Cobre,Biquínis,Biquíni Miller Cobre,Biquínis,3,93.87
Biquíni Eaton Cobre,Biquínis,Biquíni Capanema Cobre,Biquínis,4,92.29
Biquíni Eaton Cobre,Biquínis,Biquíni Malawi Pérola,Biquínis,5,90.49
Biquíni Eaton Cobre,Biquínis,Biquíni Bercy Preto,Biquínis,6,90.4
Biquíni Eaton Pérola,Biquínis,Biquíni Malawi Pérola,Biquínis,1,99.83
Biquíni Eaton Pérola,Biquínis,Biquíni Riva Pérola,Biquínis,2,99.83
Biquíni Eaton Pérola,Biquínis,Biquíni Atticus Pérola,Biquínis,3,99.7
Biquíni Eaton Pérola,Biquínis,Biquíni Bercy Pérola,Biquínis,4,99.67
Biquíni Eaton Pérola,Biquínis,Biquíni Julian Pérola,Biquínis,5,98.22
Biquíni Eaton Pérola,Biquínis,Biquíni Hali Pérola,Biquínis,6,97.74
Biquíni Eaton Preto,Biquínis,Biquíni Riva Preto,Biquínis,1,99.83
Biquíni Eaton Preto,Biquínis,Biquíni Bercy Preto,Biquínis,2,99.67
Biquíni Eaton Preto,Biquínis,Biquíni Julian Preto,Biquínis,3,98.22
Biquíni Eaton Preto,Biquínis,Biquíni Marzan Preto,Biquínis,4,97.74
Biquíni Eaton Preto,Biquínis,Biquíni Hali Preto,Biquínis,5,97.74
Biquíni Eaton Preto,Biquínis,Biquíni Dion Preto,Biquínis,6,97.74
Biquíni Finca Pérola,Biquínis,Biquíni Vitto Pérola,Biquínis,1,96.23
Biquíni Finca Pérola,Biquínis,Biquíni Bonneville Pérola,Biquínis,2,94.9
Biquíni Finca Pérola,Biquínis,Biquíni Alann Pérola,Biquínis,3,93.58
Biquíni Finca Pérola,Biquínis,Biquíni Finca Vermelho,Biquínis,4,91.59
Biquíni Finca Pérola,Biquínis,Biquíni Finca Preto,Biquínis,5,91.59
Biquíni Finca Pérola,Biquínis,Biquíni Landon Pérola,Biquínis,6,88.48
Biquíni Finca Preto,Biquínis,Biquíni Taut Preto,Biquínis,1,96.3
Biquíni Finca Preto,Biquínis,Biquíni Vitto Preto,Biquínis,2,96.23
Biquíni Finca Preto,Biquínis,Biquíni Easton Preto,Biquínis,3,96.14
Biquíni Finca Preto,Biquínis,Biquíni Bonneville Preto,Biquínis,4,94.9
Biquíni Finca Preto,Biquínis,Biquíni Castillo Preto,Biquínis,5,94.34
Biquíni Finca Preto,Biquínis,Biquíni Alann Preto,Biquínis,6,93.58
Biquíni Finca Vermelho,Biquínis,Biquíni Finca Pérola,Biquínis,1,91.59
